Andrew Abbott*,abbotan01
Justin Lawrence,lawreju01
Max Lazar,lazarma01
Kyle Leahy,leahyky01
Jordan Leasure,leasujo01
José Leclerc,leclejo01
Dylan Lee*,leedy01
Casey Legumina,legumca01
Jack Leiter,leiteja01
Mark Leiter Jr.,leitema02
Mark Leiter Jr.,leitema02
Mark Leiter Jr.,leitema02
Dominic Leone,leonedo01
Matthew Liberatore*,liberma01
Zack Littell,litteza01
Brendon Little*,littlbr02
Luke Little*,littllu01
Ben Lively,livelbe01
Jonathan Loáisiga,loaisjo01
Nick Lodolo*,lodolni01
Nick Loftin,loftini01
Sam Long*,longsa01
Jacob Lopez*,lopezja04
Jorge López,lopezjo02
Jorge López,lopezjo02
Jorge López,lopezjo02
Pablo López,lopezpa01
Reynaldo López,lopezre01
Michael Lorenzen,lorenmi01
Michael Lorenzen,lorenmi01
Michael Lorenzen,lorenmi01
Ryan Loutos,loutory01
Richard Lovelady*,lovelri01
Richard Lovelady*,lovelri01
Richard Lovelady*,lovelri01
Easton Lucas*,lucasea01
Easton Lucas*,lucasea01
Easton Lucas*,lucasea01
Joey Lucchesi*,lucchjo01
Seth Lugo,lugose01
Jesús Luzardo*,luzarje01
Jordan Lyles,lylesjo01
Daniel Lynch IV*,lynchda02
Lance Lynn,lynnla01
Josh Maciejewski*,maciejo01
Kenta Maeda,maedake01
Tyler Mahle,mahlety01
Luke Maile,mailelu01
Anthony Maldonado,maldoan01
Sean Manaea*,manaese01
Matt Manning,mannima02
Alek Manoah,manoaal01
Joe Mantiply*,mantijo01
Ron Marinaccio,marinro01
Germán Márquez,marquge01
Alec Marsh,marshal01
José Marte,martejo01
Yunior Marte,marteyu01
Chris Martin,martich02
Davis Martin,martida03
Justin Martinez,martiju01
Nick Martinez,martini01
Seth Martinez,martise01
Phil Maton,matonph01
Phil Maton,matonph01
Phil Maton,matonph01
Yuki Matsui*,matsuyu01
Zebby Matthews,matthze01
Steven Matz*,matzst01
Tyler Matzek*,matzety01
Tim Mayza*,mayzati01
Tim Mayza*,mayzati01
Tim Mayza*,mayzati01
Adam Mazur,mazurad01
James McArthur,mcartja01
James McCann,mccanja02
Darren McCaughan,mccauda01
Darren McCaughan,mccauda01
Darren McCaughan,mccauda01
Chayce McDermott,mcderch01
T.J. McFarland*,mcfartj01
Scott McGough,mcgousc01
Michael McGreevy,mcgremi01
Triston McKenzie,mckentr01
Zach McKinstry,mckinza01
John McMillon,mcmiljo01
John Means*,meansjo01
Nick Mears,mearsni01
Nick Mears,mearsni01
Nick Mears,mearsni01
Luis Medina,medinlu02
James Meeker,meekeja01
Trevor Megill,megiltr01
Tylor Megill,megilty01
Cristian Mena,menacr01
Danny Mendick,mendida01
Michael Mercado,mercami01
Julian Merryweather,merryju01
Matt Mervis,mervima01
Max Meyer,meyerma01
Miles Mikolas,mikolmi01
Wade Miley*,mileywa01
Bobby Miller,millebo06
Bryce Miller,millebr04
Erik Miller*,milleer01
Mason Miller,millema03
Owen Miller,milleow01
Shelby Miller,millesh01
Tyson Miller,millety01
Tyson Miller,millety01
Tyson Miller,millety01
Hoby Milner*,milneho01
A.J. Minter*,minteaj01
Anthony Misiewicz*,misiean01
Casey Mize,mizeca01
Carmen Mlodzinski,mlodzca01
Anthony Molina,molinan01
Sam Moll*,mollsa01
Frankie Montas,montafr02
Frankie Montas,montafr02
Frankie Montas,montafr02
Keider Montero,monteke01
Rafael Montero,montera01
Jordan Montgomery*,montgjo01
Matt Moore*,moorema02
Adrián Morejón*,morejad01
Eli Morgan,morgael01
Charlie Morton,mortoch02
Kyle Muller*,mulleky01
Andrés Muñoz,munozan01
Roddery Muñoz,munozro01
Joe Musgrove,musgrjo01
Parker Mushinski*,mushipa01
Tobias Myers,myersto01
Tommy Nance,nanceto01
Andrew Nardi*,nardian01
Nick Nastrini,nastrni01
Kyle Nelson*,nelsoky01
Nick Nelson,nelsoni01
Ryne Nelson,nelsory01
Héctor Neris,nerishe01
Sean Newcomb*,newcose01
Kyle Nicolas,nicolky01
Vinny Nittoli,nittovi01
Vinny Nittoli,nittovi01
Vinny Nittoli,nittovi01
Aaron Nola,nolaaa01
Dedniel Núñez,nunezde01
Riley O'Brien,obrieri01
Jack O'Loughlin*,olougja01
Bailey Ober,oberba01
Steven Okert*,okertst01
Reese Olson,olsonre01
Kaleb Ort,ortka01
Luis Ortiz,ortizlu02
Luis Ortiz,ortizlu03
Eric Orze,orzeer01
Michel Otañez,otanemi01
Adam Ottavino,ottavad01
Chris Paddack,paddach01
Emilio Pagán,paganem01
Daniel Palencia,palenda01
Andre Pallante,pallaan01
Enoli Paredes,pareden01
Mitchell Parker*,parkemi01
Wes Parsons,parsowe01
Wes Parsons,parsowe01
Wes Parsons,parsowe01
James Paxton*,paxtoja01
James Paxton*,paxtoja01
James Paxton*,paxtoja01
Joel Payamps,payamjo01
Nate Pearson,pearsna01
Nate Pearson,pearsna01
Nate Pearson,pearsna01
Elvis Peguero,pegueel01
Walter Pennington*,penniwa01
Walter Pennington*,penniwa01
Walter Pennington*,penniwa01
Ryan Pepiot,pepiory01
Freddy Peralta,peralfr01
Sammy Peralta*,peralsa01
Wandy Peralta*,peralwa01
Cionel Pérez*,perezci01
Martín Pérez*,perezma02
Martín Pérez*,perezma02
Martín Pérez*,perezma02
Michael Petersen,petermi01
David Peterson*,peterda01
Brandon Pfaadt,pfaadbr01
Evan Phillips,phillev01
Tyler Phillips,phillty01
Riley Pint,pintri01
Ricardo Pinto,pintori01
Nick Pivetta,pivetni01
Zach Plesac,plesaza01
Colin Poche*,pocheco01
Zach Pop,popza01
Cody Poteet,poteeco01
Cade Povich*,povicca01
Nick Pratto*,prattni01
Ryan Pressly,pressry01
Quinn Priester,priesqu01
Austin Pruitt,pruitau01
A.J. Puk*,pukaj01
A.J. Puk*,pukaj01
A.J. Puk*,pukaj01
Cal Quantrill,quantca01
José Quijada*,quijajo01
Jose Quintana*,quintjo01
Cole Ragans*,raganco01
Tanner Rainey,raineta01
Brooks Raley*,raleybr01
Emmanuel Ramirez,ramirem01
Erasmo Ramírez,ramirer02
Nick Ramirez*,ramirni01
Yohan Ramírez,ramiryo01
Yohan Ramírez,ramiryo01
Yohan Ramírez,ramiryo01
Yohan Ramírez,ramiryo01
Yohan Ramírez,ramiryo01
Yohan Ramírez,ramiryo01
Yohan Ramírez,ramiryo01
Drew Rasmussen,rasmudr01
Robbie Ray*,rayro02
Colin Rea,reaco01
Sean Reid-Foley,reidfse01
Gerardo Reyes,reyesge01
Pablo Reyes,reyespa01
Sean Reynolds,reynose01
Orlando Ribalta,ribalor01
Trevor Richards,richatr01
Trevor Richards,richatr01
Trevor Richards,richatr01
Lyon Richardson,richaly01
Leo Rivas,rivasle01
Emmanuel Rivera,riverem01
Daniel Robert,roberda11
Ethan Roberts,roberet01
David Robertson,roberda08
Nick Robertson,roberni01
Carlos Rodón*,rodonca01
Carlos Rodriguez,rodrica02
Eduardo Rodríguez*,rodried05
Grayson Rodriguez,rodrigr01
Joely Rodríguez*,rodrijo06
Manuel Rodríguez,rodrima01
Randy Rodríguez,rodrira02
Yariel Rodríguez,rodriya01
Yerry Rodríguez,rodriye01
Yerry Rodríguez,rodriye01
Yerry Rodríguez,rodriye01
Josh Rogers*,rogerjo01
Taylor Rogers*,rogerta01
Trevor Rogers*,rogertr01
Trevor Rogers*,rogertr01
Trevor Rogers*,rogertr01
Tyler Rogers,rogerty01
Josh Rojas,rojasjo01
Jordan Romano,romanjo03
JoJo Romero*,romerjo01
Ben Rortvedt,rortvbe01
Kenny Rosenberg*,rosenke01
Joe Ross,rossjo01
Landen Roupp,rouppla01
Chris Roycroft,roycrch01
José Ruiz,ruizjo01
Jackson Rutledge,rutleja01
Joe Ryan,ryanjo04
River Ryan,ryanri01
Ryder Ryan,ryanry01
Andrew Saalfrank*,saalfan01
Eduardo Salazar,salazed01
Eduardo Salazar,salazed01
Eduardo Salazar,salazed01
Chris Sale*,salech01
Bryan Sammons*,sammobr01
Cristopher Sánchez*,sanchcr01
Sixto Sánchez,sanchsi01
Nick Sandlin,sandlni01
Patrick Sandoval*,sandopa02
Cole Sands,sandsco01
Miguel Sanó,sanomi01
Dennis Santana,santade01
Dennis Santana,santade01
Dennis Santana,santade01
Tony Santillan,santito01
Gregory Santos,santogr01
Tayler Saucedo*,sauceta01
Matt Sauer,sauerma01
Josh Sborz,sborzjo01
Max Scherzer,scherma01
Clarke Schmidt,schmicl01
John Schreiber,schrejo01
Spencer Schwellenbach,schwesp01
Christian Scott,scottch01
Tanner Scott*,scottta01
Tanner Scott*,scottta01
Tanner Scott*,scottta01
Tayler Scott,scottta02
JP Sears*,searsjp01
Colin Selby,selbyco01
Kodai Senga,sengako01
Luis Severino,severlu01
Paul Sewald,sewalpa01
Bryan Shaw,shawbr01
Chasen Shreve*,shrevch01
Chase Shugart,shugach01
Jared Shuster*,shustja01
Chase Silseth,silsech01
Lucas Sims,simslu01
Lucas Sims,simslu01
Lucas Sims,simslu01
Brady Singer,singebr01
Paul Skenes,skenepa01
Tarik Skubal*,skubata01
Justin Slaten,slateju01
Burch Smith,smithbu03
Burch Smith,smithbu03
Burch Smith,smithbu03
Cade Smith,smithca06
Dominic Smith*,smithdo02
Drew Smith,smithdr01
Pavin Smith*,smithpa04
Will Smith*,smithwi04
AJ Smith-Shawver,smithaj01
Drew Smyly*,smylydr01
Kirby Snead*,sneadki01
Blake Snell*,snellbl01
Collin Snider,snideco01
George Soriano,soriage01
José Soriano,soriajo02
Michael Soroka,sorokmi01
Gregory Soto*,sotogr01
Gregory Soto*,sotogr01
Gregory Soto*,sotogr01
Alex Speas,speasal01
Gabe Speier*,speiega01
Mitch Spence,spencmi01
Carson Spiers,spierca01
Jeffrey Springs*,sprinje01
Ryne Stanek,stanery01
Ryne Stanek,stanery01
Ryne Stanek,stanery01
Josh Staumont,staumjo01
Justin Steele*,steelju01
Jackson Stephens,stephja01
Justin Sterner,sternju01
Brock Stewart,stewabr01
Gavin Stone,stonega01
Matt Strahm*,strahma01
Chris Stratton,stratch01
Hunter Stratton,strathu01
Hunter Strickland,strichu01
Spencer Strider,stridsp01
Ross Stripling,stripro01
Marcus Stroman,stromma01
Peter Strzelecki,strzepe01
Garrett Stubbs,stubbga01
Albert Suárez,suareal01
José Suarez*,suarejo01
Ranger Suárez*,suarera01
Robert Suarez,suarero01
Wander Suero,suerowa01
Cole Sulser,sulseco01
Cole Sulser,sulseco01
Cole Sulser,sulseco01
Brent Suter*,suterbr01
Erik Swanson,swanser01
Jameson Taillon,taillja01
Dillon Tate,tatedi01
Troy Taylor,taylotr01
Julio Teheran,teherju01
Kai-Wei Teng,tengka01
Caleb Thielbar*,thielca01
Keegan Thompson,thompke02
Ryan Thompson,thompry02
Zack Thompson*,thompza02
Trent Thornton,thorntr01
Drew Thorpe,thorpdr01
Jesús Tinoco,tinocje01
Jesús Tinoco,tinocje01
Jesús Tinoco,tinocje01
Jesús Tinoco,tinocje01
Jesús Tinoco,tinocje01
Michael Tonkin,tonkimi01
Michael Tonkin,tonkimi01
Michael Tonkin,tonkimi01
Michael Tonkin,tonkimi01
Michael Tonkin,tonkimi01
Luis Torrens,torrelu01
Touki Toussaint,toussto01
Blake Treinen,treinbl01
Jose Trevino,trevijo01
Cole Tucker,tuckeco01
Spencer Turnbull,turnbsp01
Kyle Tyler,tylerky01
Edwin Uceta,ucetaed01
José Ureña,urenajo01
Abner Uribe,uribeab01
Naoyuki Uwasawa,uwasana01
Framber Valdez*,valdefr01
Ricky Vanasco,vanasri01
Ildemaro Vargas,vargail01
Gus Varland,varlagu01
Gus Varland,varlagu01
Gus Varland,varlagu01
Louie Varland,varlalo01
Randy Vásquez,vasqura02
Anthony Veneziano*,venezan01
Justin Verlander,verlaju01
Alex Vesia*,vesiaal01
Nick Vespi*,vespini01
Will Vest,vestwi01
Thyago Vieira,vieirth01
Thyago Vieira,vieirth01
Thyago Vieira,vieirth01
Thyago Vieira,vieirth01
Thyago Vieira,vieirth01
Eli Villalobos,villael02
Darius Vines,vinesda01
Victor Vodnik,vodnivi01
Austin Voth,vothau01
Michael Wacha,wachami01
Jacob Waguespack,wagueja01
Hurston Waldrep,waldrhu01
Matt Waldron,waldrma01
Josh Walker*,walkejo03
Ryan Walker,walkery01
Taijuan Walker,walketa01
Matt Wallner,wallnma01
Blake Walston*,walstbl01
Andrew Wantz,wantzan01
Will Warren,warrewi01
Ryan Weathers*,weathry01
Luke Weaver,weavelu01
Jacob Webb,webbja01
Logan Webb,webblo01
Jordan Weems,weemsjo01
Greg Weissert,weissgr01
Tyler Wells,wellsty01
Joey Wentz*,wentzjo01
Hayden Wesneski,wesneha01
Zack Wheeler,wheelza01
Mitch White,whitemi03
Mitch White,whitemi03
Mitch White,whitemi03
Mitch White,whitemi03
Mitch White,whitemi03
Owen White,whiteow01
Forrest Whitley,whitlfo01
Garrett Whitlock,whitlga01
Jordan Wicks*,wicksjo01
Devin Williams,willide03
Gavin Williams,williga01
Luke Williams,willilu01
Trevor Williams,willitr01
Amos Willingham,william01
Bryse Wilson,wilsobr02
Justin Wilson*,wilsoju10
Steven Wilson,wilsost02
Allan Winans,winanal01
Josh Winckowski,winckjo01
Josh Winder,windejo01
Trey Wingenter,wingetr01
Cole Winn,winnco01
Keaton Winn,winnke01
Patrick Wisdom,wisdopa01
Bryan Woo,woobr01
Alex Wood*,woodal02
Jake Woodford,woodfja01
Jake Woodford,woodfja01
Jake Woodford,woodfja01
Simeon Woods Richardson,woodssi01
Justin Wrobleski*,wroblju01
Yoshinobu Yamamoto,yamamyo01
Ryan Yarbrough*,yarbrry01
Ryan Yarbrough*,yarbrry01
Ryan Yarbrough*,yarbrry01
Mike Yastrzemski*,yastrmi01
Kirby Yates,yateski01
Alex Young*,youngal01
Alex Young*,youngal01
Alex Young*,youngal01
Danny Young*,youngda02
Rob Zastryzny*,zastrro01
Angel Zerpa*,zerpaan01
Tyler Zuber,zuberty01
Yosver Zulueta,zulueyo01
Guillo Zuñiga,zuniggu01